;Name;PSNR_00;SSIM_00;LPIPS_00;tOF_00;tLP100_00
18;Patin_Test_Gaussian_Noise_03_BlurGaussian_1_5_3__2;33.44272;0.9569426;0.15708533;0.91501826;4.1811514
18;Patin_Test_Gaussian_Noise_03_BlurGaussian_1_5_3__3;33.453583;0.95746076;0.15376909;0.91534436;4.6656723
18;Patin_Test_Gaussian_Noise_03_BlurGaussian_05_03_3__1;33.133163;0.7681364;0.38777447;4.3720493;35.969505
18;Patin_Test_Gaussian_Noise_03_BlurGaussian_05_03_3__2;34.154583;0.82722163;0.37990567;2.670031;34.29828
18;Patin_Test_Gaussian_Noise_03_BlurGaussian_05_03_3__3;34.788727;0.86914736;0.3797374;1.4836223;24.79706
18;Patin_Test_RSS_SS_ST_3__1;36.147575;0.9794067;0.026470851;0.27546728;0.15193498
18;Patin_Test_RSS_SS_ST_3__2;36.14775;0.9794235;0.026437389;0.27541;0.14926857
18;Patin_Test_RSS_SS_ST_3__3;36.149338;0.97943103;0.026403977;0.27576143;0.14705989
18;Patin_Test_RSS_SS_3__1;36.147575;0.9794067;0.02647089;0.2754665;0.15194272
18;Patin_Test_RSS_SS_3__2;36.14775;0.9794234;0.026437307;0.27540973;0.14927681
18;Patin_Test_RSS_SS_3__3;36.149338;0.97943103;0.026403984;0.27576068;0.14708051
31;city_oscuro_Test_control_10__1;26.874834;0.76809937;0.20592904;0.25528118;1.0104059
31;city_oscuro_Test_control_10__2;26.874834;0.7680994;0.20592901;0.25528052;1.010396
31;city_oscuro_Test_control_10__3;26.874834;0.7680994;0.20592894;0.25528073;1.0104104
31;city_oscuro_Test_control_10__4;26.874834;0.7680994;0.205929;0.25528073;1.010398
31;city_oscuro_Test_control_10__5;26.874834;0.7680994;0.20592903;0.25528076;1.0104126
31;city_oscuro_Test_control_10__6;26.874834;0.7680994;0.20592906;0.25528058;1.0103978
31;city_oscuro_Test_control_10__7;26.874834;0.7680995;0.20592907;0.2552807;1.0104141
31;city_oscuro_Test_control_10__8;26.874834;0.7680994;0.2059291;0.25528055;1.0104114
31;city_oscuro_Test_control_10__9;26.874834;0.7680994;0.2059291;0.25528046;1.0104162
31;city_oscuro_Test_control_10__10;26.874834;0.7680994;0.20592915;0.2552805;1.0104151
31;city_oscuro_Test_control_3__1;26.874834;0.7680995;0.20592882;0.2552796;1.0103961
31;city_oscuro_Test_control_3__2;26.87483;0.7680994;0.20592904;0.25528014;1.0104072
31;city_oscuro_Test_control_3__3;26.87483;0.7680994;0.20592901;0.25528088;1.0104127
31;city_oscuro_Test_RSS_2_1_10__1;26.887634;0.7688998;0.20507714;0.25707334;0.98465264
31;city_oscuro_Test_RSS_2_1_10__2;26.901882;0.7693345;0.20465162;0.2552626;0.93904155
31;city_oscuro_Test_RSS_2_1_10__3;26.90578;0.7695162;0.20461613;0.25680155;0.9299633
31;city_oscuro_Test_RSS_2_1_10__4;26.908466;0.7695371;0.20457554;0.2564778;0.92117685
31;city_oscuro_Test_RSS_2_1_10__5;26.908344;0.7695806;0.20454095;0.25668943;0.9198546
31;city_oscuro_Test_RSS_2_1_10__6;26.908998;0.76955336;0.20451926;0.25614452;0.91702634
31;city_oscuro_Test_RSS_2_1_10__7;26.90965;0.76957536;0.20450297;0.2564208;0.9149582
31;city_oscuro_Test_RSS_2_1_10__8;26.910126;0.76957357;0.20449112;0.25662547;0.9137051
31;city_oscuro_Test_RSS_2_1_10__9;26.910225;0.769579;0.2044807;0.25663644;0.9137346
31;city_oscuro_Test_RSS_2_1_10__10;26.910883;0.76961285;0.20446987;0.25623748;0.9121246
31;city_oscuro_Test_RSS_RS_2_1_10__1;26.887634;0.7688998;0.20507693;0.25707418;0.9846539
31;city_oscuro_Test_RSS_RS_2_1_10__2;27.294373;0.784474;0.1881025;0.26164663;0.23643027
31;city_oscuro_Test_RSS_RS_2_1_10__3;27.42102;0.78804964;0.1839717;0.25497854;0.16045055
31;city_oscuro_Test_RSS_RS_2_1_10__4;27.500038;0.79110473;0.18247408;0.25453517;0.24987215
31;city_oscuro_Test_RSS_RS_2_1_10__5;27.470762;0.7898396;0.18315575;0.2527908;0.20531724
31;city_oscuro_Test_RSS_RS_2_1_10__6;27.474287;0.79048693;0.18329597;0.25580424;0.20811935
31;city_oscuro_Test_RSS_RS_2_1_10__7;27.483702;0.79035187;0.18269084;0.2542873;0.2223581
31;city_oscuro_Test_RSS_RS_2_1_10__8;27.50118;0.7911569;0.18250805;0.25415534;0.2539182
31;city_oscuro_Test_RSS_RS_2_1_10__9;27.49092;0.790644;0.18275481;0.253286;0.2313254
31;city_oscuro_Test_RSS_RS_2_1_10__10;27.489735;0.79084337;0.1829152;0.25509712;0.2326179
31;city_oscuro_Test_RSS_RS_2_1_3__1;26.8819;0.76845205;0.2055629;0.25652978;0.992135
31;city_oscuro_Test_RSS_RS_2_1_3__2;27.290464;0.78429794;0.18835084;0.26118934;0.2415919
31;city_oscuro_Test_RSS_RS_2_1_3__3;27.417889;0.78791636;0.18411513;0.25461268;0.15640883
31;city_oscuro_Test_RSS_RS_RT_2_1_3__1;25.126093;0.62069726;0.32928818;0.8818414;7.5064406
31;city_oscuro_Test_RSS_RS_RT_2_1_3__2;25.421822;0.62282914;0.31458962;0.8796062;4.0973997
31;city_oscuro_Test_RSS_RS_RT_2_1_3__3;25.500566;0.6228879;0.31151193;0.8766005;3.6746068
31;city_oscuro_Test_RSS_RT_2_1_3__1;25.126093;0.6206972;0.32928795;0.88183886;7.5063925
31;city_oscuro_Test_RSS_RT_2_1_3__2;25.169716;0.62266296;0.3277799;0.88258874;7.017388
31;city_oscuro_Test_RSS_RT_2_1_3__3;25.184822;0.6229492;0.32733762;0.8843735;6.8753715
31;city_oscuro_Test_RSS_2_1_3__1;26.881899;0.76845205;0.20556292;0.256529;0.9921174
31;city_oscuro_Test_RSS_2_1_3__2;26.897058;0.7689646;0.20506641;0.25470647;0.94503695
31;city_oscuro_Test_RSS_2_1_3__3;26.903185;0.7692096;0.20496598;0.25611255;0.9361421
31;city_oscuro_Test_RSS_BB_2_1_3__1;26.866415;0.7678035;0.20567463;0.2608638;1.0044134
31;city_oscuro_Test_RSS_BB_2_1_3__2;26.879272;0.76827025;0.20535752;0.25927868;0.95206535
31;city_oscuro_Test_RSS_BB_2_1_3__3;26.888708;0.7686244;0.20530266;0.2584268;0.9368586
31;city_oscuro_Test_Salt_Noise_03_3__1;26.590254;0.7595215;0.24796054;0.28538555;8.159942
31;city_oscuro_Test_Salt_Noise_03_3__2;26.817135;0.7644184;0.23528454;0.2772216;6.5869513
31;city_oscuro_Test_Salt_Noise_03_3__3;26.891537;0.767446;0.22571005;0.27186325;4.796716
31;city_oscuro_Test_Gaussian_Noise_03_3__1;24.636953;0.5694281;0.4675325;0.5330062;35.33952
31;city_oscuro_Test_Gaussian_Noise_03_3__2;25.537172;0.6152923;0.4009917;0.46917036;19.096174
31;city_oscuro_Test_Gaussian_Noise_03_3__3;26.037624;0.6522415;0.33894005;0.41710207;12.738954
31;city_oscuro_Test_sp_Noise_03_3__1;26.691694;0.7607219;0.2331143;0.27505535;5.9487906
31;city_oscuro_Test_sp_Noise_03_3__2;26.83576;0.7661412;0.22406505;0.27389556;4.721403
